,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,brand,model
52,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,Maruti,Swift
53,Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,Maruti,Swift
54,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,Hyundai,Grand
55,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,Volkswagen,Vento
56,Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,Renault,KWID
57,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10
58,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,Nissan,X-Trail
59,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,Maruti,Zen
60,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,Toyota,Innova
61,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,Ford,Figo
62,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,Mercedes-Benz,New
63,Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,Mercedes-Benz,New
64,Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,Tata,Indica
65,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,Audi,A4
66,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,Honda,City
67,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,Mercedes-Benz,C-Class
68,Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,Maruti,Ertiga
69,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,Hyundai,Creta
70,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,Porsche,Cayenne
71,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,Mahindra,XUV500
72,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,Hyundai,i10
73,Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,Nissan,Terrano
74,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,Honda,Brio
75,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,Audi,A6
76,Jaipur,2008,111111,Diesel,Manual,First,17.8,1399.0,132.0,5.0,Ford,Fiesta
77,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,Toyota,Innova
78,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,Toyota,Innova
79,Hyderabad,2005,87591,Petrol,Manual,First,0.0,1086.0,74.0,5.0,Hyundai,Santro
80,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,Maruti,Swift
81,Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,Tata,Zest
82,Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,Honda,Amaze
83,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,Ford,Figo
84,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,Maruti,Ritz
85,Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,Honda,City
86,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,BMW,5
87,Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10
88,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,Hyundai,Grand
89,Hyderabad,2007,73745,Petrol,Manual,First,17.0,1086.0,86.7,5.0,Hyundai,Santro
90,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,Honda,Amaze
91,Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,Toyota,Fortuner
92,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,Audi,A6
93,Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,Ford,Ecosport
94,Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,Mahindra,XUV500
95,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,Honda,Amaze
96,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,Volkswagen,Polo
97,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,Hyundai,Verna
98,Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,Maruti,Wagon
99,Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,Volkswagen,Polo
100,Pune,2011,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,Hyundai,i20
101,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,Hyundai,i20
102,Pune,2017,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,Datsun,GO
103,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,Audi,A4
104,Pune,2009,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,Hyundai,i20
105,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,Maruti,Omni
106,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,Toyota,Etios
107,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,Jaguar,XF
108,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,Mahindra,XUV500
109,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,Hyundai,Verna
110,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,Toyota,Innova
111,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,Maruti,Eeco
112,Bangalore,2014,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,Tata,Nano
113,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,BMW,3
114,Delhi,2010,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,Honda,Civic
115,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,Toyota,Innova
116,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,Volvo,V40
117,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,Nissan,Micra
118,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,BMW,5
119,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,Maruti,Vitara
120,Mumbai,2005,102000,Petrol,Manual,Second,17.0,1086.0,107.3,5.0,Hyundai,Santro
121,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,Mercedes-Benz,B
122,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,Hyundai,Verna
123,Pune,2011,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,Maruti,Wagon
124,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,Tata,Nano
125,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,Mahindra,Scorpio
126,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,Mercedes-Benz,New
128,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,Honda,CR-V
129,Pune,2015,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,Volkswagen,Vento
130,Kochi,2017,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,Maruti,Ciaz
131,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,Mahindra,XUV500
132,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,Maruti,Ritz
133,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,Maruti,Alto
134,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,Mercedes-Benz,SLC
135,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,Hyundai,Verna
136,Chennai,2010,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,Maruti,Alto
137,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,BMW,1
138,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,Honda,Jazz
139,Delhi,2012,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,Honda,Civic
140,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,Mercedes-Benz,New
141,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,Honda,Amaze
142,Kochi,2016,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,Maruti,Swift
143,Kochi,2008,80759,Petrol,Manual,Third,17.0,1086.0,171.0,5.0,Hyundai,Santro
144,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,Toyota,Fortuner
145,Pune,2014,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,Chevrolet,Beat
146,Chennai,2013,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,Skoda,Rapid
147,Kochi,2018,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,Maruti,Ciaz
148,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,Audi,RS5
149,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,BMW,3
150,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,Audi,A4
151,Chennai,2016,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,Maruti,Swift
152,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,Mercedes-Benz,S
153,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,Skoda,Rapid
154,Pune,2012,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,Skoda,Superb
155,Kochi,2019,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,Hyundai,EON
156,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,Volkswagen,Polo
157,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,Datsun,GO
158,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,Honda,Brio
159,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,Mercedes-Benz,B
160,Kochi,2015,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,Honda,City
161,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,Toyota,Innova
162,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,Maruti,Swift
163,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,Mahindra,XUV500
164,Kochi,2014,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,Ford,Ecosport
165,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,Toyota,Fortuner
166,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,Volkswagen,Vento
167,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,Ford,Figo
168,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,BMW,X5
169,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,Mercedes-Benz,New
170,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,Honda,Brio
171,Delhi,2013,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10
172,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,Mercedes-Benz,GLC
173,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,Hyundai,Grand
174,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,Audi,A6
175,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,Volkswagen,Vento
176,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,Mini,Countryman
177,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,Hyundai,i20
178,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,Audi,A6
179,Jaipur,2012,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,Chevrolet,Beat
180,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,Skoda,Superb
181,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,Ford,Fiesta
182,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,BMW,5
183,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,Chevrolet,Optra
184,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,Volkswagen,Polo
185,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,Renault,Lodgy
186,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,Mercedes-Benz,E-Class
187,Kochi,2017,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,Maruti,Baleno
188,Delhi,2012,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,Hyundai,Verna
189,Kochi,2017,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,Hyundai,i10
190,Kochi,2016,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,Mahindra,Scorpio
191,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,Land,Rover
192,Chennai,2010,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,Ford,Figo
193,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,Maruti,Ertiga
194,Ahmedabad,2007,60006,Petrol,Manual,First,0.0,1616.5734702372692,98.6,7.0,Honda,City
195,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,Honda,Amaze
196,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10
197,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,Honda,Amaze
198,Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,Skoda,Laura
199,Delhi,2014,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,Renault,Duster
200,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,Mahindra,NuvoSport
201,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,Maruti,Vitara
202,Kochi,2016,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20
203,Jaipur,2009,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,Skoda,Fabia
204,Pune,2010,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,Tata,Indigo
205,Delhi,2015,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,Audi,Q3
206,Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,Skoda,Octavia
207,Delhi,2014,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,Toyota,Etios
208,Kolkata,2010,42001,Petrol,Manual,First,16.1,1616.5734702372692,120.7,5.0,Maruti,Swift
209,Kochi,2014,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,Mercedes-Benz,B
210,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,Honda,Amaze
211,Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,Hyundai,Verna
212,Mumbai,2014,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,Renault,Duster
213,Delhi,2015,27057,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,Hyundai,Creta
214,Mumbai,2016,8500,Petrol,Automatic,First,20.51,998.0,67.0,5.0,Maruti,Wagon
215,Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,Mercedes-Benz,New
216,Delhi,2012,56000,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,Audi,A8
217,Pune,2012,44000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,Hyundai,i10
218,Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,Skoda,Rapid
219,Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,Skoda,Superb
220,Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197.0,81.86,5.0,Hyundai,i20
221,Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,Honda,Amaze
222,Chennai,2004,61000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,Maruti,Wagon
223,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,Mahindra,Verito
224,Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,Mercedes-Benz,New
225,Kolkata,2013,32000,Petrol,Manual,First,22.5,998.0,67.04,5.0,Maruti,Wagon
226,Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461.0,108.5,5.0,Nissan,Terrano
227,Delhi,2013,47000,Diesel,Manual,First,17.8,1248.0,189.08,5.0,Maruti,Swift
228,Kochi,2017,26327,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,Mini,Cooper
229,Bangalore,2015,70436,Diesel,Manual,First,0.0,1498.0,99.0,4.0,Ford,Figo
230,Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396.0,53.5,5.0,Tata,Indica
231,Kochi,2016,60813,Petrol,Manual,Second,18.6,1199.0,76.8,5.0,Chevrolet,Beat
232,Mumbai,2012,45000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,Volkswagen,Polo
233,Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,Maruti,Swift
234,Kolkata,2012,41284,Diesel,Manual,First,20.0,1399.0,68.05,5.0,Ford,Figo
235,Kochi,2019,14165,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,Toyota,Innova
236,Mumbai,2011,67000,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,Hyundai,Santa
237,Kolkata,2011,32572,Petrol,Manual,First,17.4,1497.0,117.3,5.0,Honda,City
238,Kochi,2018,14960,Petrol,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20
239,Kochi,2015,55980,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,Mercedes-Benz,New
240,Mumbai,2013,74000,Diesel,Manual,First,25.44,936.0,57.6,5.0,Chevrolet,Beat
241,Kochi,2015,56847,Diesel,Manual,First,22.54,1396.0,88.73,5.0,Hyundai,i20
242,Coimbatore,2015,121374,Diesel,Manual,First,12.99,2494.0,100.6,7.0,Toyota,Innova
243,Chennai,2013,52000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,Maruti,Ertiga
244,Mumbai,2014,118000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,Toyota,Innova
245,Mumbai,2007,72000,Petrol,Manual,Third,17.0,1086.0,117.3,5.0,Hyundai,Santro
246,Kochi,2016,33915,Petrol,Manual,First,17.8,1497.0,117.3,5.0,Honda,City
247,Ahmedabad,2014,82002,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,BMW,X1
248,Mumbai,2017,33000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,Hyundai,Grand
249,Chennai,2016,34000,Diesel,Manual,First,28.09,1248.0,88.5,5.0,Maruti,Ciaz
250,Kolkata,2012,55000,Diesel,Manual,First,20.5,1598.0,103.6,5.0,Skoda,Rapid
251,Kochi,2006,160538,Diesel,Manual,First,13.1,1493.0,82.0,5.0,Hyundai,Accent
252,Jaipur,2014,60000,Diesel,Manual,Second,19.91,1498.0,103.6,5.0,Volkswagen,Polo
253,Coimbatore,2017,49575,Petrol,Manual,First,18.7,1199.0,88.7,5.0,Honda,Jazz
254,Jaipur,2010,83000,Petrol,Manual,First,19.81,1086.0,68.05,5.0,Hyundai,i10
255,Kochi,2018,51346,Diesel,Automatic,First,16.38,1995.0,183.0,5.0,Hyundai,Tucson
256,Pune,2017,43000,Diesel,Manual,First,13.68,2393.0,147.8,7.0,Toyota,Innova
257,Jaipur,2011,35000,Petrol,Manual,Third,19.7,796.0,35.0,5.0,Maruti,Omni
258,Coimbatore,2017,27872,Petrol,Manual,Second,20.4,1197.0,81.8,5.0,Maruti,Swift
259,Mumbai,2014,16514,Petrol,Manual,First,18.9,1197.0,82.0,5.0,Hyundai,Grand
260,Pune,2012,120000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,Maruti,Swift
261,Hyderabad,2008,143275,Diesel,Manual,First,22.0,1582.0,126.2,5.0,Hyundai,Verna
262,Hyderabad,2006,99000,Petrol,Manual,First,0.0,1086.0,80.0,5.0,Hyundai,Santro
263,Mumbai,2010,52000,Petrol,Manual,First,17.0,1197.0,80.0,5.0,Hyundai,i20
264,Coimbatore,2017,29819,Diesel,Automatic,First,11.57,2987.0,254.79,5.0,Mercedes-Benz,GLE
265,Bangalore,2014,57000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,Mercedes-Benz,New
266,Hyderabad,2014,88500,Diesel,Manual,First,23.2,1248.0,73.94,5.0,Maruti,Ritz
267,Bangalore,2016,28000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,Hyundai,Creta
268,Pune,2010,67000,Petrol,Manual,First,19.0,998.0,66.1,5.0,Maruti,A-Star
269,Delhi,2016,26000,Diesel,Manual,First,19.64,1461.0,108.45,5.0,Renault,Duster
270,Delhi,2010,120000,Diesel,Manual,First,17.8,1248.0,76.0,5.0,Fiat,Grande
